zyshih           19267   9.1  0.5 1509206688  80896 s023  S+   12:31上午   0:00.05 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           19277   4.6  0.2 1509206832  27104 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           19247   2.4  0.2 1509206848  27104 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           19217   1.5  0.2 1509206816  27056 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           19187   0.6  0.2 1509206016  27088 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           19157   0.5  0.2 1509206832  27104 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           19127   0.2  0.2 1509206800  27104 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           19097   0.1  0.2 1509206256  27120 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18429   0.0  0.2 1509206112  27088 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18399   0.0  0.2 1509206736  27120 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18368   0.0  0.2 1509206688  27056 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18338   0.0  0.2 1509206608  27104 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18307   0.0  0.2 1509206720  27104 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18276   0.0  0.2 1509206816  27104 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18244   0.0  0.2 1509206000  27104 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18214   0.0  0.2 1509206816  27088 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18180   0.0  0.2 1509206240  27056 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18150   0.0  0.2 1509206704  27056 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18120   0.0  0.2 1509206640  27088 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18110   0.0  0.2 1509206000  27088 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18080   0.0  0.2 1509206368  27104 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18070   0.0  0.2 1509206256  27088 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18039   0.0  0.2 1509206336  27088 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18029   0.0  0.2 1509206032  27088 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17999   0.0  0.2 1509206192  27088 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17988   0.0  0.1 1509206896  20592 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17958   0.0  0.1 1509206912  11504 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17947   0.0  0.1 1509206224  10368 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17913   0.0  0.1 1509206864   9232 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17902   0.0  0.1 1509206128  10112 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17872   0.0  0.1 1509206704  10016 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17861   0.0  0.1 1509206304   9008 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17831   0.0  0.1 1509206144   9120 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17821   0.0  0.1 1509205984   9968 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17790   0.0  0.1 1509206528   9024 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17760   0.0  0.1 1509206208   9232 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17729   0.0  0.1 1509206672   9232 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17699   0.0  0.1 1509206096   8864 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17668   0.0  0.1 1509206368   9200 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17638   0.0  0.1 1509206864   9248 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17607   0.0  0.1 1509206816   9056 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17577   0.0  0.1 1509206720   9216 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17546   0.0  0.1 1509206400   8656 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17516   0.0  0.1 1509206560   9232 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17485   0.0  0.1 1509206400   9104 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17455   0.0  0.1 1509206416   9232 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17424   0.0  0.1 1509206864   9280 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17394   0.0  0.1 1509206304   9136 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17364   0.0  0.1 1509206800   9776 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17334   0.0  0.1 1509206512   9312 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17304   0.0  0.1 1509206080   9440 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17274   0.0  0.1 1509206800   9232 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17244   0.0  0.1 1509206288   9312 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           17213   0.0  0.1 1509206448  10208 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
